Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-AUG-2016,8874.2,8967.15,8873.4,8962.55,242607523.0,10710.92
31-AUG-2016,8975.35,9037.3,8975.35,9000.5,507593364.0,26262.11
01-SEP-2016,9009.3,9029.0,8971.45,8987.8,393850779.0,12443.83
02-SEP-2016,9008.1,9035.5,8981.45,9022.25,299971279.0,10523.8
06-SEP-2016,9065.95,9167.5,9065.95,9160.45,298469630.0,12258.78
07-SEP-2016,9187.05,9188.15,9137.05,9142.55,457468274.0,15199.16
08-SEP-2016,9144.15,9184.7,9125.2,9177.9,355558545.0,13880.21
09-SEP-2016,9163.75,9163.75,9082.2,9090.75,317766570.0,13098.5
12-SEP-2016,8954.4,8966.3,8903.4,8918.95,332333864.0,12818.3
14-SEP-2016,8920.95,8953.75,8897.95,8943.55,317096697.0,12160.32
15-SEP-2016,8961.2,8965.25,8914.35,8950.6,293670166.0,10033.72
16-SEP-2016,8991.95,9060.2,8956.05,8986.25,454788667.0,18900.53
19-SEP-2016,8997.9,9029.65,8980.9,9015.05,240152450.0,10113.37
20-SEP-2016,9023.45,9024.9,8970.65,8987.3,241358968.0,10213.73
21-SEP-2016,9002.95,9038.15,8969.15,8987.45,239363227.0,10127.72
22-SEP-2016,9083.65,9104.35,9046.45,9083.9,277984556.0,12221.34
23-SEP-2016,9098.25,9101.8,9044.55,9054.75,307994442.0,13283.3
26-SEP-2016,9034.05,9034.85,8947.6,8956.4,270194295.0,11311.85
27-SEP-2016,8983.65,9003.3,8923.55,8940.5,248469632.0,9945.2
28-SEP-2016,8947.55,9004.4,8938.75,8983.8,284783804.0,11271.17
29-SEP-2016,9032.15,9040.2,8762.55,8799.95,639020154.0,25842.45
30-SEP-2016,8789.8,8868.9,8763.4,8844.2,295941744.0,11957.29
03-OCT-2016,8900.0,9000.95,8875.15,8992.55,251753648.0,10452.29
04-OCT-2016,9025.5,9039.15,8991.55,9029.2,305413005.0,11563.79
05-OCT-2016,9066.25,9067.15,8993.9,9010.0,265570742.0,9964.98
06-OCT-2016,9036.7,9057.75,8950.65,8979.25,281810646.0,11504.19
07-OCT-2016,8995.2,9000.45,8929.6,8965.3,245236074.0,10778.07
10-OCT-2016,9004.35,9014.5,8966.6,8971.95,180284707.0,7209.6
13-OCT-2016,8937.65,8946.85,8792.3,8832.3,318513762.0,13681.62
14-OCT-2016,8854.75,8865.75,8809.4,8847.3,237657698.0,11936.28
17-OCT-2016,8875.75,8877.9,8769.05,8784.45,285016597.0,11127.28
18-OCT-2016,8821.05,8953.9,8820.9,8945.6,304527836.0,11909.11
19-OCT-2016,8968.55,8969.55,8908.8,8933.9,258493922.0,10439.87
20-OCT-2016,8969.8,9001.4,8951.25,8970.3,264119789.0,9934.96
21-OCT-2016,8981.3,8981.4,8923.7,8967.55,243285551.0,10267.1
24-OCT-2016,8985.8,9005.85,8955.85,8977.1,237536455.0,8907.98
25-OCT-2016,8989.25,8989.6,8930.05,8963.45,264876237.0,10636.78
26-OCT-2016,8931.3,8931.3,8862.4,8883.15,311574198.0,12350.22
27-OCT-2016,8873.5,8875.95,8807.05,8866.15,357689193.0,16316.8
28-OCT-2016,8879.25,8916.55,8842.1,8906.05,301181058.0,12638.54
30-OCT-2016,8941.45,8948.0,8891.3,8900.55,30798558.0,1135.95
01-NOV-2016,8928.25,8949.75,8892.0,8904.4,302187205.0,11946.69
02-NOV-2016,8819.25,8820.85,8771.55,8781.1,263437514.0,10550.05
03-NOV-2016,8767.15,8807.15,8725.7,8736.15,285503345.0,10544.11
04-NOV-2016,8755.0,8755.3,8638.65,8673.85,349794613.0,15527.9
07-NOV-2016,8778.5,8780.55,8721.75,8738.0,269370669.0,11399.49
08-NOV-2016,8779.85,8798.5,8718.8,8782.9,293590965.0,11273.77
